x-axis,B,2
second,Volt,Volt
-2.490000E-03,-27.187498E-03,+24.921875E-03
-2.485000E-03,-30.312498E-03,+13.984375E-03
-2.480000E-03,-30.703123E-03,+5.390625E-03
-2.475000E-03,-31.093748E-03,+10.859375E-03
-2.470000E-03,-32.265623E-03,+19.062500E-03
-2.465000E-03,-32.656248E-03,+16.328125E-03
-2.460000E-03,-31.484373E-03,+5.390625E-03
-2.455000E-03,-31.484373E-03,-4.375000E-03
-2.450000E-03,-30.703123E-03,-11.406250E-03
-2.445000E-03,-29.921873E-03,-18.046875E-03
-2.440000E-03,-28.749998E-03,-24.296876E-03
-2.435000E-03,-27.578123E-03,-24.687501E-03
-2.430000E-03,-26.796873E-03,-18.437500E-03
-2.425000E-03,-26.015623E-03,-13.359375E-03
-2.420000E-03,-26.796873E-03,-12.968750E-03
-2.415000E-03,-23.281248E-03,-20.781250E-03
-2.410000E-03,-23.281248E-03,-20.000000E-03
-2.405000E-03,-23.281248E-03,-7.890625E-03
-2.400000E-03,-22.890623E-03,+2.656250E-03
-2.395000E-03,-21.718748E-03,-3.593750E-03
-2.390000E-03,-23.281248E-03,-13.750000E-03
-2.385000E-03,-22.890623E-03,-26.250001E-03
-2.380000E-03,-22.499998E-03,-29.765626E-03
-2.375000E-03,-22.890623E-03,-23.125001E-03
-2.370000E-03,-22.890623E-03,-11.406250E-03
-2.365000E-03,-22.890623E-03,-2.421875E-03
-2.360000E-03,-22.890623E-03,-2.812500E-03
-2.355000E-03,-22.499998E-03,-7.500000E-03
-2.350000E-03,-22.890623E-03,-13.359375E-03
-2.345000E-03,-22.499998E-03,-11.796875E-03
-2.340000E-03,-21.718748E-03,-78.125E-06
-2.335000E-03,-21.328123E-03,+8.515625E-03
-2.330000E-03,-20.156248E-03,+4.218750E-03
-2.325000E-03,-22.499998E-03,-7.109375E-03
-2.320000E-03,-20.156248E-03,-15.312500E-03
-2.315000E-03,-20.937498E-03,-21.953126E-03
-2.310000E-03,-21.328123E-03,-21.171876E-03
-2.305000E-03,-21.718748E-03,-12.187500E-03
-2.300000E-03,-22.890623E-03,-2.421875E-03
-2.295000E-03,-23.671873E-03,-78.125E-06
-2.290000E-03,-23.671873E-03,-3.203125E-03
-2.285000E-03,-28.359373E-03,-12.968750E-03
-2.280000E-03,-27.968748E-03,-11.015625E-03
-2.275000E-03,-29.531248E-03,-1.250000E-03
-2.270000E-03,-31.874998E-03,+8.515625E-03
-2.265000E-03,-36.171873E-03,+5.390625E-03
-2.260000E-03,-34.999998E-03,-468.750E-06
-2.255000E-03,-37.734373E-03,-11.015625E-03
-2.250000E-03,-40.078123E-03,-18.828125E-03
-2.245000E-03,-41.640623E-03,-21.562501E-03
-2.240000E-03,-42.812498E-03,-17.265625E-03
-2.235000E-03,-42.812498E-03,-10.625000E-03
-2.230000E-03,-42.812498E-03,-8.671875E-03
-2.225000E-03,-42.031248E-03,-15.312500E-03
-2.220000E-03,-41.640623E-03,-21.562501E-03
-2.215000E-03,-37.734373E-03,-28.593751E-03
-2.210000E-03,-33.828123E-03,-22.343751E-03
-2.205000E-03,-30.312498E-03,-12.578125E-03
-2.200000E-03,-25.624998E-03,-11.406250E-03
-2.195000E-03,-18.984373E-03,-21.171876E-03
-2.190000E-03,-13.515623E-03,-30.156251E-03
-2.185000E-03,-6.874998E-03,-37.578126E-03
-2.180000E-03,+156.252E-06,-41.093751E-03
-2.175000E-03,+6.796877E-03,-35.625001E-03
-2.170000E-03,+13.437502E-03,-22.734376E-03
-2.165000E-03,+19.687503E-03,-11.796875E-03
-2.160000E-03,+25.156253E-03,-9.453125E-03
-2.155000E-03,+27.890628E-03,-11.015625E-03
-2.150000E-03,+34.531253E-03,-9.843750E-03
-2.145000E-03,+36.093753E-03,+312.500E-06
-2.140000E-03,+36.875003E-03,+19.062500E-03
-2.135000E-03,+36.093753E-03,+30.781250E-03
-2.130000E-03,+35.312503E-03,+26.875000E-03
-2.125000E-03,+28.671878E-03,+18.281250E-03
-2.120000E-03,+23.593753E-03,+7.734375E-03
-2.115000E-03,+16.171877E-03,+3.437500E-03
-2.110000E-03,+6.796877E-03,+12.812500E-03
-2.105000E-03,-4.531248E-03,+34.296875E-03
-2.100000E-03,-17.031248E-03,+56.171876E-03
-2.095000E-03,-30.703123E-03,+62.031251E-03
-2.090000E-03,-43.203123E-03,+53.437501E-03
-2.085000E-03,-60.390624E-03,+37.031250E-03
-2.080000E-03,-72.890624E-03,+35.078125E-03
-2.075000E-03,-85.390624E-03,+43.671875E-03
-2.070000E-03,-98.281249E-03,+47.187501E-03
-2.065000E-03,-110.781249E-03,+35.859375E-03
-2.060000E-03,-120.937500E-03,+22.187500E-03
-2.055000E-03,-127.968750E-03,+16.328125E-03
-2.050000E-03,-135.000000E-03,+7.734375E-03
-2.045000E-03,-138.125000E-03,-13.750000E-03
-2.040000E-03,-138.125000E-03,-48.125001E-03
-2.035000E-03,-135.390625E-03,-74.687501E-03
-2.030000E-03,-129.531250E-03,-82.500001E-03
-2.025000E-03,-119.375000E-03,-78.593751E-03
-2.020000E-03,-108.437499E-03,-86.796876E-03
-2.015000E-03,-91.640624E-03,-106.718752E-03
-2.010000E-03,-74.453124E-03,-118.437502E-03
-2.005000E-03,-54.921874E-03,-110.625002E-03
-2.000000E-03,-34.609373E-03,-104.375002E-03
-1.995000E-03,-7.656248E-03,-108.281252E-03
-1.990000E-03,+15.781252E-03,-125.859377E-03
-1.985000E-03,+39.609378E-03,-137.968752E-03
-1.980000E-03,+63.046878E-03,-131.328127E-03
-1.975000E-03,+86.093754E-03,-107.890627E-03
